10.20.42.16 00:0b:2f:17:46:cb
10.20.42.14 00:23:a0:00:08:3e
10.20.42.34 80:1c:bb:4d:7a:10
10.20.42.31 8c:ec:4b:a9:4f:39
10.20.42.32 00:0b:2f:17:4a:c4
10.20.42.44 --
10.20.42.25 de:d3:18:7e:12:01
10.20.42.35 00:0b:2f:17:46:d8
10.20.42.50 00:23:9e:05:1a:6e
10.20.42.42 00:23:a0:00:09:6b
10.20.42.22 00:0b:2f:16:e0:41
10.20.42.29 00:23:a0:00:08:81
10.20.42.64 00:23:9e:03:70:49
10.20.42.52 00:0b:2f:16:dc:de
10.20.42.48 54:04:a6:f0:b0:11
10.20.42.59 00:0b:2f:17:4b:58
10.20.42.28 00:0b:2f:17:46:d7
10.20.42.43 00:0b:2f:90:08:e2
10.20.42.57 00:23:a0:00:09:6c
10.20.42.85 00:0b:2f:90:32:2c
10.20.42.78 00:0b:2f:16:e0:e4
10.20.42.96 00:0b:2f:17:4a:d2
10.20.42.127 00:23:9e:04:45:d1
10.20.42.61 00:23:a0:00:08:43
10.20.42.106 f2:3b:44:be:01:b9
10.20.42.114 00:0b:2f:17:48:43
10.20.42.108 00:23:9e:04:f2:a0
10.20.42.86 00:0b:2f:16:e0:bf
10.20.42.110 04:70:70:70:70:2a
10.20.42.115 00:23:9e:04:28:33
10.20.42.105 00:24:25:12:67:48
10.20.42.119 5e:e5:f3:45:a0:a1
10.20.42.136 00:0b:2f:16:eb:5b
10.20.42.146 00:23:9e:03:71:67
10.20.42.156 00:0b:2f:17:47:39
10.20.42.163 00:0b:2f:17:0f:59
10.20.42.184 00:23:9e:04:14:c9
10.20.42.168 00:23:9e:04:4b:c4
10.20.42.174 00:24:25:12:74:f9
10.20.42.162 30:85:a9:96:01:ea
10.20.42.161 1a:92:ff:b3:5c:21
10.20.42.178 0e:ac:f3:5e:3a:9b
10.20.42.190 00:23:a0:00:08:44
10.20.42.169 04:70:70:70:70:12
10.20.42.194 60:a4:4c:2f:74:23
10.20.42.196 00:0b:2f:17:4a:95
gateway 70:f9:6d:18:1d:64
